Sku,ExternalKey,MPN,Gtin,Name,ProductTypeDescription,Price DO,Price DD,UpdateUTC
V10196,V10196,10196,5705020101960,Vikan Hygiene 1019-1 Aanvulset klemmen div. kleuren,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V56035,V56035,56035,5705025603506,Vikan Hygiene 56035 uitlekschep 112x35cm,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V691218,V691218,691218,5705026912188,Vikan ErgoClean 691218 microvezel want,SimpleProduct,Not Found,"€ 38,39","12/15/2025, 11:20 PM"
V580510,V580510,580510,5705025805108,Vikan ErgoClean 580510 Mopbox,SimpleProduct,Not Found,"€ 133,85","12/15/2025, 11:20 PM"
V631559,V631559,631559,5705022000339,Vikan Transport 631559 interieurborstel,SimpleProduct,Not Found,"€ 8,13","12/15/2025, 11:20 PM"
V559518,V559518,559518,5705025595184,Vikan stoffer en blik set met lange steel 98cm,SimpleProduct,Not Found,"€ 31,29","12/15/2025, 11:20 PM"
V549101,V549101,549101,5705025491011,Vikan ErgoClean 549101 EasyShine Kit,SimpleProduct,Not Found,"€ 142,26","12/15/2025, 11:20 PM"
V56214,V56214,56214,5705020562143,"Vikan Hygiene 5621-4 schop D-grip,",SimpleProduct,Not Found,"€ 11,22","12/15/2025, 11:20 PM"
V77749,V77749,77749,5705020777493,Vikan 7774-9 e cassette 60 cm,SimpleProduct,Not Found,"€ 17,41","12/15/2025, 11:20 PM"
V10194,V10194,10194,5705020101946,Vikan Hygiene 1019-1 Aanvulset klemmen div. kleuren,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V581910,V581910,581910,5705025819105,Vikan ErgoClean 581910 kleine opbergbox,SimpleProduct,Not Found,"€ 6,00","12/15/2025, 11:20 PM"
V375018,V375018,375018,5705023750189,Vikan mop emmer 15 liter,SimpleProduct,Not Found,"€ 11,98","12/15/2025, 11:20 PM"
V3108,V3108,3108,5705020031083,Vikan Classic 3108 veger hard 40cm,SimpleProduct,Not Found,"€ 16,15","12/15/2025, 11:20 PM"
V297352,V297352,297352,5705022973015,Vikan Transport telescoopsteel 163-275 waterdoorvoer slangpilaar,SimpleProduct,Not Found,"€ 82,35","12/15/2025, 11:20 PM"
V549025,V549025,549025,5705025490250,Vikan BOARD vlakmop 25cm klittenband,SimpleProduct,Not Found,"€ 18,08","12/15/2025, 11:20 PM"
V380100,V380100,380100,5705023801003,Vikan ErgoClean 380100 wisdoekklemmen,SimpleProduct,Not Found,"€ 5,15","12/15/2025, 11:20 PM"
V290300,V290300,290300,5705022903005,Swish 290300 telescoopsteel 95-160cm click-fit,SimpleProduct,Not Found,"€ 91,48","12/15/2025, 11:20 PM"
V406199,V406199,406199,5705024061994,Vikan Hygiene 406199 handschraper dblauw,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V30024,V30024,30024,5705020300240,Vikan Hygiene Toaster brush hittebestendige peek vezels set van 2,SimpleProduct,Not Found,"€ 55,09","12/15/2025, 11:20 PM"
V292515552,V292515552,292515552,5705022925021,Vikan Transport houten steel 155cm,SimpleProduct,Not Found,"€ 12,14","12/15/2025, 11:20 PM"
V2925155G,V2925155G,2925155G,5705022925151,Vikan Classic 2925155-G steel 155cm,SimpleProduct,Not Found,"€ 11,79","12/15/2025, 11:20 PM"
V581417,V581417,581417,5705025814179,Vikan ErgoClean 581417 los deksel MOPBOX 25,SimpleProduct,Not Found,"€ 87,63","12/15/2025, 11:20 PM"
V556452,V556452,556452,5705025564524,Vikan Transport 556452 set 2 kwasten,SimpleProduct,Not Found,"€ 6,63","12/15/2025, 11:20 PM"
V370700,V370700,370700,5705023707008,Swish Superior mopframe 120cm klittenband click-fit,SimpleProduct,Not Found,"€ 57,49","12/15/2025, 11:20 PM"
V581416,V581416,581416,5705025814162,Vikan ErgoClean 581416 MOPBOX 25 compleet,SimpleProduct,Not Found,"€ 87,63","12/15/2025, 11:20 PM"
V71352,V71352,71352,5705020713521,"Vikan 0713 snelkoppeling 1/2"" met 3/4"" slangpilaar",SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V549600,V549600,549600,5705025496009,Vikan Damp 43 pocketmop 40 cm,SimpleProduct,Not Found,"€ 18,37","12/15/2025, 11:20 PM"
V29255,V29255,29255,5705020029257,Vikan Hygiene 2925-5 telescoopsteel 125-180cm wit,SimpleProduct,Not Found,"€ 44,35","12/15/2025, 11:20 PM"
V10181,V10181,10181,5705020101816,Vikan Hygiene 1018-1 ophangrek 4-6,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V372018,V372018,372018,5705023720182,Vikan ErgoClean 372018 draadmop 200 gram,SimpleProduct,Not Found,"€ 146,74","12/15/2025, 11:20 PM"
