Sku,ExternalKey,MPN,Gtin,Name,ProductTypeDescription,Price DO,Price DD,UpdateUTC
V5381904,V5381904,5381904,5705022000995,Vikan Ultra Hygiene pijpenborstel medium-hard 90mm,ChildProduct,Not Found,"€ 17,47","8/22/2025, 12:16 PM"
V31794,V31794,31794,5705020317941,Vikan Hygiene 3179 zachte veger 40cm,ChildProduct,Not Found,"€ 35,01","8/22/2025, 12:16 PM"
V71403,V71403,71403,5705020714030,Vikan 7140 ultra hygiene vloertrekker 40cm vaste nek,ChildProduct,Not Found,"€ 29,75","8/22/2025, 12:16 PM"
V5552305,V5552305,5552305,5705022015852,Vikan 5552302 plat kwastje superzacht 30mm breed,ChildProduct,Not Found,"€ 4,05","8/22/2025, 12:16 PM"
V70624,V70624,70624,5705020706240,Vikan Hygiene 70624 vloerschrobber hard 47cm,ChildProduct,Not Found,"€ 49,68","8/22/2025, 12:16 PM"
V29346,V29346,29346,5705020293467,Vikan Hygiene 2934 kunststof mini steel 16cm,ChildProduct,Not Found,"€ 6,30","8/22/2025, 12:16 PM"
V77316,V77316,77316,5705020773167,Vikan Hygiene 7731 cassette 25cm,ChildProduct,Not Found,"€ 7,89","8/22/2025, 12:16 PM"
V71502,V71502,71502,5705020715020,Vikan 71502 Ultra Hygiene vloertrekker 50cm vaste nek groen,ChildProduct,Not Found,"€ 31,85","8/22/2025, 12:16 PM"
V71706,V71706,71706,5705020717062,Vikan 7170 ultra hygiene vloertrekker 70cm vaste nek,ChildProduct,Not Found,"€ 38,09","8/22/2025, 12:16 PM"
V5552702,V5552702,5552702,5705022015999,Vikan 5552702 plat kwastje superzacht 70mm breed,ChildProduct,Not Found,"€ 5,87","8/22/2025, 12:16 PM"
V41868,V41868,41868,5705020418686,Vikan 4186 Hygiene afwasborstel hard steel 41cm,ChildProduct,Not Found,"€ 14,07","8/22/2025, 12:16 PM"
V29607,V29607,29607,5705020296079,Vikan 29607 ultra hygiene kunststof steel 130cm Oranje,ChildProduct,Not Found,"€ 24,36","8/22/2025, 12:16 PM"
V10117,V10117,10117,5705022028647,Vikan Hygiene 10117 Hi-Flex ophangrek 3 klemmen 2 haken Oranje,ChildProduct,Not Found,"€ 15,69","8/22/2025, 12:16 PM"
V56232,V56232,56232,5705020562327,Schop D-grip Vikan Hygiene 56232 groen,ChildProduct,Not Found,"€ 41,65","8/22/2025, 12:16 PM"
V31662,V31662,31662,5705020316623,Vikan Hygiene 3166 rechte nek medium veger 30cm groen,ChildProduct,Not Found,"€ 25,29","8/22/2025, 12:16 PM"
V5380636,V5380636,5380636,5705025380667,Vikan Hygiene 5380-63-2 pijpenborstel hard 63mm,ChildProduct,Not Found,"€ 15,40","8/22/2025, 12:16 PM"
V29144,V29144,29144,5705020291449,Vikan Hygiene 2914 hoekbezem hard 30cm,ChildProduct,Not Found,"€ 23,58","8/22/2025, 12:16 PM"
V77165,V77165,77165,5705020775659,Vikan Hygiene 7716-2 condenstrekker 40cm vaste nek,ChildProduct,Not Found,"€ 39,03","8/22/2025, 12:16 PM"
V775477,V775477,775477,5705022014961,Vikan 7754 klassieke vloertrekker 60cm vaste nek,ChildProduct,Not Found,"€ 32,28","8/22/2025, 12:16 PM"
V41942,V41942,41942,5705020419423,Vikan 41942 hygiene afwasborstel zacht steel 27cm groen,ChildProduct,Not Found,"€ 11,43","8/22/2025, 12:16 PM"
